Startup,arr,pilot_revenue,loi,signups,active_users,activity_volume,ecosystem_pull,mom_growth,Velocity_Score
Pocket,27000000,0,0,0,0,0,0,0.5,162000000
Mango Medical,0,0,10000000,0,0,0,0,0,2000000
Didit,0,0,0,0,0,4000000,0,0,1000000
Corvera,300000,0,0,0,0,0,0,0,300000
Samora AI,0,0,0,0,0,1000000,0,0,250000
Avoice,240000,0,0,0,0,0,0,0,240000
21st,0,0,0,1000000,0,0,0,0,150000
OctaPulse,0,100000,0,0,0,0,0,0,50000
Luel,0,0,0,190000,0,0,0,0,28500
Pax Historia,0,0,0,0,35000,0,0,0,14000
OpenSpec,0,0,0,0,0,0,30000,0,3000
